Reference,Journal_name,Publication_year,Experiment_year,IF,Data_details,Variable_name,Variable_identity,Plant_species,Plant_status,Herbivore_feeding_guild,cor,n,zr,var,Bio_var
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Miners percentage leaves,Herbivory,Betula nana,Native,Miners,0.022416807543587935,25,0.022420563590480187,0.045454545454545456,Bio_9
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,All herbivores average damage,Herbivory,Betula nana,Native,All folivores,0.8558284949554011,5,1.277541452598786,0.5,Bio_9
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,All herbivores percentage leaf area,Herbivory,Betula nana,Native,All folivores,0.18528436061766101,5,0.1874494239615245,0.5,Bio_9
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,All herbivores percentage leaves,Herbivory,Betula nana,Native,All folivores,-0.13267638725831807,5,-0.13346321633623787,0.5,Bio_9
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Defoliators average damage,Herbivory,Betula nana,Native,Defoliators,0.8527488687624977,5,1.266143092664556,0.5,Bio_9
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Defoliators percentage leaf area,Herbivory,Betula nana,Native,Defoliators,0.18935614915880566,5,0.19166928952860648,0.5,Bio_9
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Defoliators percentage leaves,Herbivory,Betula nana,Native,Defoliators,-0.12213803898164344,5,-0.12275087321631097,0.5,Bio_9
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Miners percentage leaf area,Herbivory,Betula nana,Native,Miners,-0.6880973838967539,5,-0.8443331770802627,0.5,Bio_9
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Miners percentage leaves,Herbivory,Betula nana,Native,Miners,-0.9656961915551068,5,-2.0241726880626056,0.5,Bio_9
Baskett & Schemske 2018,Ecology Letters,2018,2014,9.8,Data from Dryad,﻿mean herbivory (consumed leaf area/total area*100)_Mature_2014,Herbivory,Phytolacca americana,Native,Defoliators,0.26602077333950697,60,0.27257664227447237,0.017543859649122806,Bio_9
Baskett & Schemske 2018,Ecology Letters,2018,2014,9.8,Data from Dryad,﻿mean herbivory (consumed leaf area/total area*100)_Young_2014,Herbivory,Phytolacca americana,Native,Defoliators,0.4673183289257174,70,0.5066338709999246,0.014925373134328358,Bio_9
Baskett & Schemske 2018,Ecology Letters,2018,2015,9.8,Data from Dryad,Herbivore abundance,Herbivore abundance,Phytolacca americana,Native,All folivores,0.16449852197793463,50,0.16600685151474748,0.02127659574468085,Bio_9
Baskett & Schemske 2018,Ecology Letters,2018,2015,9.8,Data from Dryad,mean herbivory (consumed leaf area/total area*100)_2015,Herbivory,Phytolacca americana,Native,Defoliators,0.49577440521931443,239,0.5436877859483271,0.00423728813559322,Bio_9
Baskett et al. 2020,Ecological Monographs,2020,2017,9,Data from Dryad,Herbivory rate_mature,Herbivory,Phytolacca americana,Native,Defoliators,-0.11794446287867352,175,-0.11849597788871165,0.005813953488372093,Bio_9
Baskett et al. 2020,Ecological Monographs,2020,2017,9,Data from Dryad,Herbivory rate_mature,Herbivory,Phytolacca rivinoides,Native,Defoliators,0.22500811161174317,158,0.22892509098900082,0.0064516129032258064,Bio_9
Baskett et al. 2020,Ecological Monographs,2020,2017,9,Data from Dryad,Herbivory rate_young,Herbivory,Phytolacca americana,Native,Defoliators,-3.196480899791803e-5,175,-3.19648090088047e-5,0.005813953488372093,Bio_9
Baskett et al. 2020,Ecological Monographs,2020,2017,9,Data from Dryad,Herbivory rate_young,Herbivory,Phytolacca rivinoides,Native,Defoliators,0.3147177206299668,166,0.32577321020078015,0.006134969325153374,Bio_9
Bravo-Monzon et al. 2014,Oecologia,2014,2009,2.8,Data from Figure 1,Herbivore damage (%),Herbivory,Mikania micrantha,Native,All folivores,0.25399925828237685,14,0.259683267624259,0.09090909090909091,Bio_9
Castilla et al. 2013,Acta Oecologica-International Journal of Ecology,2013,2007,1.6,Data from Figure 2,% Leaf area removed_2007,Herbivory,Daphne laureola,Native,Defoliators,0.3855709178863864,6,0.40658701694101895,0.3333333333333333,Bio_9
Castilla et al. 2013,Acta Oecologica-International Journal of Ecology,2013,2009,1.6,Data from Figure 2,% Leaf area removed_2009,Herbivory,Daphne laureola,Native,Defoliators,0.18892958445590535,6,0.19122689825971217,0.3333333333333333,Bio_9
Cincotta et al. 2009,Biological Invasion,2009,2005,3.1,Data from Figure 1,Mean % Leaf Area Loss,Herbivory,Acer platanoides,Non-native,All folivores,0.3107411521421747,6,0.3213655672237447,0.3333333333333333,Bio_9
Cincotta et al. 2009,Biological Invasion,2009,2005,3.1,Data from Figure 1,Mean % Leaf Area Loss,Herbivory,Acer saccharum,Native,All folivores,0.6498023499654297,6,0.7749565311714807,0.3333333333333333,Bio_9
Cincotta et al. 2009,Biological Invasion,2009,2006,3.1,Data from Figure 2,Mean % Leaf Area Loss_2006_July,Herbivory,Acer platanoides,Non-native,All folivores,-0.726022429757672,6,-0.9202643120878402,0.3333333333333333,Bio_9
Cincotta et al. 2009,Biological Invasion,2009,2006,3.1,Data from Figure 2,Mean % Leaf Area Loss_2006_July,Herbivory,Acer saccharum,Native,All folivores,-0.37758632807678577,6,-0.39724163504652016,0.3333333333333333,Bio_9
Cincotta et al. 2009,Biological Invasion,2009,2006,3.1,Data from Figure 2,Mean % Leaf Area Loss_2006_May,Herbivory,Acer platanoides,Non-native,All folivores,-0.54607099745102206,6,-0.6127656738250674,0.3333333333333333,Bio_9
Cincotta et al. 2009,Biological Invasion,2009,2006,3.1,Data from Figure 2,Mean % Leaf Area Loss_2006_May,Herbivory,Acer saccharum,Native,All folivores,-0.7495864504515296,6,-0.9720104877930215,0.3333333333333333,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2F,ln(prop. leaf area chewed) residuals,Herbivory,Phragmites australis,Native,Defoliators,0.18516272004150353,22,0.187323461909348,0.05263157894736842,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2F,ln(prop. leaf area chewed) residuals,Herbivory,Phragmites australis,Non-native,Defoliators,0.14808794676664358,28,0.1491849425150556,0.04,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2G,ln(stem-feeder incidence) residuals,Herbivory,Phragmites australis,Native,Stem feeders,0.8428164548718647,25,1.2308180812700487,0.045454545454545456,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2G,ln(stem-feeder incidence) residuals,Herbivory,Phragmites australis,Non-native,Stem feeders,0.2765601550863574,29,0.28395348126558373,0.038461538461538464,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2H,ln(aphids per stem) residuals,Herbivore abundance,Phragmites australis,Native,Sap feeders,0.16767064105996224,12,0.16926895581532073,0.1111111111111111,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2H,ln(aphids per stem) residuals,Herbivore abundance,Phragmites australis,Non-native,Sap feeders,-0.26458014594592594,15,-0.271026939751926,0.08333333333333333,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3F,ln(prop. leaf area chewed) residuals,Herbivory,Phragmites australis,Native,Defoliators,0.18325619341567645,21,0.1853499677808818,0.05555555555555555,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3F,ln(prop. leaf area chewed) residuals,Herbivory,Phragmites australis,Non-native,Defoliators,0.14414815618616497,30,0.14515919460257953,0.037037037037037035,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3G,ln(stem-feeder incidence) residuals,Herbivory,Phragmites australis,Native,Stem feeders,0.30112889517742153,40,0.31076061084803774,0.02702702702702703,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3G,ln(stem-feeder incidence) residuals,Herbivory,Phragmites australis,Non-native,Stem feeders,0.41338038253265974,30,0.4396814749411952,0.037037037037037035,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3H,ln(aphids per stem) residuals,Herbivore abundance,Phragmites australis,Native,Sap feeders,0.009983870093729256,18,0.009984201836512935,0.06666666666666667,Bio_9
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3H,ln(aphids per stem) residuals,Herbivore abundance,Phragmites australis,Non-native,Sap feeders,-0.1496185730492046,13,-0.15075025215522844,0.1,Bio_9
Dangremond & Feller 2014,Aquatic Botany,2014,2012,2.467,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Pelliciera rhizophorae,Native,All folivores,-0.48785080188210966,8,-0.5332359788247679,0.2,Bio_9
Fedriani et al. 2004,Oikos,2004,1999,3.99,Data from Figure 1,% Fruit and flower losses_open,Herbivory,Helleborus foetidus,Native,Seed feeders,0.7932532196666053,3,1.0801459647057852,1,Bio_9
Fedriani et al. 2004,Oikos,2004,1999,3.99,Data from Figure 1,% Fruit and flower losses_woodland,Herbivory,Helleborus foetidus,Native,Seed feeders,0.9719850446923116,3,2.1270287327948907,1,Bio_9
Feller et al. 2013,Ecosystem,2013,1999,3.9,Data from Figure 2,Folivory (% leaf area damaged)_Fringe,Herbivory,Rhizophora mangle,Native,All folivores,-0.9491616931350166,3,-1.8232522578036285,1,Bio_9
Feller et al. 2013,Ecosystem,2013,1999,3.9,Data from Figure 2,Folivory (% leaf area damaged)_Scrub,Herbivory,Rhizophora mangle,Native,All folivores,-0.9694013756908214,3,-2.08226492730754,1,Bio_9
Feller et al. 2013,Ecosystem,2013,1999,3.9,Data from Figure 2,Loss of Yield (% reduction in leaf area)_Fringe,Herbivory,Rhizophora mangle,Native,Defoliators,-0.8611834721275328,3,-1.2979073609163565,1,Bio_9
Feller et al. 2013,Ecosystem,2013,1999,3.9,Data from Figure 2,Loss of Yield (% reduction in leaf area)_Scrub,Herbivory,Rhizophora mangle,Native,Defoliators,-0.6713490610613775,3,-0.8131950943161339,1,Bio_9
Garcia et al. 2001,Journal of Ecology,2001,1996,6.1,Data from Figure 1,Avian frugivory,Herbivory,Juniperus communis,Native,Seed feeders,-0.2728745159690044,12,-0.2799669761586443,0.1111111111111111,Bio_9
Garcia et al. 2001,Journal of Ecology,2001,1996,6.1,Data from Figure 1,Rodent predation,Herbivory,Juniperus communis,Native,Seed feeders,-0.3517658565130746,12,-0.36745754746179443,0.1111111111111111,Bio_9
Garibaldi et al. 2011,Global Ecology and Biogeography,2011,2007,7.7,Data from Appendix S2,Total folivore density on Nothofagus pumilio forests,Herbivore abundance,Nothofagus pumilio,Native,All folivores,0.4297172850283838,45,0.45954988594346297,0.023809523809523808,Bio_9
Garibaldi et al. 2011,Global Ecology and Biogeography,2011,2007,7.7,Data from Figure 1,Leaf damage frequency,Herbivory,Nothofagus pumilio,Native,All folivores,0.7878608076237943,46,1.065766238790029,0.023255813953488372,Bio_9
Gaston et al. 2004,Journal of Animal Ecology,2004,2000,4.7,Data from Figure 4(a),Densities of oviposition,Herbivore abundance,Ilex aquifolium,Native,Miners,-0.2799379026829496,26,-0.2876146938215559,0.043478260869565216,Bio_9
Gaston et al. 2004,Journal of Animal Ecology,2004,2000,4.7,Data from Figure 4(b),Mined leaves,Herbivory,Ilex aquifolium,Native,Miners,-0.23019854011945645,26,-0.2343991063912925,0.043478260869565216,Bio_9
Gaston et al. 2004,Journal of Animal Ecology,2004,2000,4.7,Data from Figure 4(c),Successful emergence of the holly leaf-miner,Herbivore abundance,Ilex aquifolium,Native,Miners,-0.45936355634627135,26,-0.49650432721831456,0.043478260869565216,Bio_9
Genton et al. 2005,Oecologia,2005,2003,2.8,Data from Figure 3,Chewing,Herbivory,Ambrosia artemisiifolia,Non-native,Defoliators,0.9883887171836498,3,2.5715513089574347,1,Bio_9
Genton et al. 2005,Oecologia,2005,2003,2.8,Data from Figure 3,Perforations (n),Herbivory,Ambrosia artemisiifolia,Non-native,Defoliators,0.005119765245378938,3,0.005119809979171474,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_Phylaphis fagi_canopy,Herbivory,Fagus sylvatica,Native,Sap feeders,-0.9908339657512176,3,-2.6904020928071044,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_Phylaphis fagi_understorey,Herbivory,Fagus sylvatica,Native,Sap feeders,0.664951686049934,3,0.8016383212166923,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_chewing damage_canopy,Herbivory,Fagus sylvatica,Native,Defoliators,-0.9855710966297975,3,-2.462214242237809,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_chewing damage_understorey,Herbivory,Fagus sylvatica,Native,Defoliators,0.9180504477249667,3,1.5764803577847062,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_gall midges_canopy,Herbivory,Fagus sylvatica,Native,Gallers,0.5351917506175177,3,0.5973928087836478,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_gall midges_understorey,Herbivory,Fagus sylvatica,Native,Gallers,0.415189641304043,3,0.4418656008565511,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_gall mites_canopy,Herbivory,Fagus sylvatica,Native,Gallers,0.5664647482047263,3,0.6423017473322506,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_gall mites_understorey,Herbivory,Fagus sylvatica,Native,Gallers,0.2271345169482539,3,0.23116602768012265,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_mines_canopy,Herbivory,Fagus sylvatica,Native,Miners,-0.9984726292309233,3,-3.588295338406245,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_mines_understorey,Herbivory,Fagus sylvatica,Native,Miners,-0.3530508223829892,3,-0.36892472480518074,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_overall damage_canopy,Herbivory,Fagus sylvatica,Native,All folivores,-0.9799826422563759,3,-2.2971217863870446,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_overall damage_understorey,Herbivory,Fagus sylvatica,Native,All folivores,0.9952359680295075,3,3.0187116198611648,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_scraping damage_canopy,Herbivory,Fagus sylvatica,Native,Defoliators,-0.15524802503727644,3,-0.1565136383385796,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_sucking damage_canopy,Herbivory,Fagus sylvatica,Native,Sap feeders,0.7293684206139496,3,0.9273765678829125,1,Bio_9
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_sucking damage_understorey,Herbivory,Fagus sylvatica,Native,Sap feeders,-0.810264856082365,3,-1.1277996612977772,1,Bio_9
Guo et al. 2025,Unpublished paper,2025,2019,NA,NA,Leaf area damage (%),Herbivory,Spartina alterniflora,Non-native,Defoliators,-0.13925886027031853,125,-0.14016969944727484,0.00819672131147541,Bio_9
Guo et al. 2025,Unpublished paper,2025,2019,NA,NA,Leaf area damage frequency,Herbivory,Spartina alterniflora,Non-native,Defoliators,-0.06707415707075196,125,-0.06717501706205499,0.00819672131147541,Bio_9
Harms & Cronin 2020,Scientific Reports,2020,2015,4.3,Data from Fgure 1a,ln(A. hygrophila per stem) resid.,Herbivory,Alternanthera philoxeroides,Non-native,Defoliators,-0.6608458420427462,6,-0.7943137738619305,0.3333333333333333,Bio_9
Harms & Cronin 2020,Scientific Reports,2020,2016,4.3,Data from Fgure 1a,ln(A. hygrophila per stem) resid.,Herbivory,Alternanthera philoxeroides,Non-native,Defoliators,-0.008611672143721223,12,-0.008611885036304888,0.1111111111111111,Bio_9
Harms & Cronin 2020,Scientific Reports,2020,2017,4.3,Data from Fgure 1a,ln(A. hygrophila per stem) resid.,Herbivory,Alternanthera philoxeroides,Non-native,Defoliators,-0.07681582055603023,8,-0.07696744601088377,0.2,Bio_9
Harms & Cronin 2020,Scientific Reports,2020,2018,4.3,Data from Fgure 1a,ln(A. hygrophila per stem) resid.,Herbivory,Alternanthera philoxeroides,Non-native,Defoliators,-0.5869144834600948,8,-0.6729461000247282,0.2,Bio_9
Harvey et al. 2013,Oecologia,2013,2009,2.8,Data from Figure 2(b),% Leaf damage,Herbivory,Senecio madagascariensis,Non-native,All folivores,0.08871273990734137,6,0.08894656664299694,0.3333333333333333,Bio_9
Harvey et al. 2013,Oecologia,2013,2009,2.8,Data from Figure 2(b),% Leaf damage,Herbivory,Senecio pinnatifolius,Native,All folivores,-0.07628835056468224,6,-0.0764368666944654,0.3333333333333333,Bio_9
Harvey et al. 2013,Oecologia,2013,2009,2.8,Data from Figure 3(d),Abundance (per unit biomass),Herbivore abundance,Senecio madagascariensis,Non-native,All folivores,0.5972290377962105,6,0.6888287435389452,0.3333333333333333,Bio_9
Harvey et al. 2013,Oecologia,2013,2009,2.8,Data from Figure 3(d),Abundance (per unit biomass),Herbivore abundance,Senecio pinnatifolius,Native,All folivores,0.04038366480962125,6,0.04040563941968228,0.3333333333333333,Bio_9
Heatwole et al. 1999,Selbyana,1999,NA,NA,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Leaf area damage (%),Herbivory,Angophora floribunda,Native,All folivores,-0.6992653953026993,3,-0.8658615762000305,1,Bio_9
Heatwole et al. 1999,Selbyana,1999,NA,NA,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Leaf area damage (%),Herbivory,Eucalyptus camaldulensis,Native,All folivores,-0.010217189162244658,4,-0.010217544711890523,1,Bio_9
Heatwole et al. 1999,Selbyana,1999,NA,NA,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Leaf area damage (%),Herbivory,Eucalyptus melliodora,Native,All folivores,0.6407939972190291,3,0.759519750243532,1,Bio_9
Heatwole et al. 1999,Selbyana,1999,NA,NA,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Leaf area damage (%),Herbivory,Eucalyptus populnea,Native,All folivores,0.9749489650011618,3,2.183691346249691,1,Bio_9
Heatwole et al. 1999,Selbyana,1999,NA,NA,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Angophora floribunda,Native,Defoliators,-0.41960370687092935,3,-0.44721094886972496,1,Bio_9
Heatwole et al. 1999,Selbyana,1999,NA,NA,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Eucalyptus camaldulensis,Native,Defoliators,0.09618430347752245,4,0.09648257469968018,1,Bio_9
Heatwole et al. 1999,Selbyana,1999,NA,NA,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Eucalyptus melliodora,Native,Defoliators,0.694257398362203,3,0.856128116951606,1,Bio_9
Heatwole et al. 1999,Selbyana,1999,NA,NA,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Eucalyptus populnea,Native,Defoliators,0.9949889000748287,3,2.9933691642468725,1,Bio_9
Hinz et al. 2012,Biological Invasions,2012,2002,3.1,Data from Figure 3,% shoot attack,Herbivory,Lepidium draba,Non-native,Stem feeders,-0.33135895682314315,27,-0.344354056381945,0.041666666666666664,Bio_9
Hinz et al. 2012,Biological Invasions,2012,2003,3.1,Data from Figure 3,% shoot attack,Herbivory,Lepidium draba,Native,Stem feeders,-0.17865225845061905,16,-0.18059016627361965,0.07692307692307693,Bio_9
Hinz et al. 2012,Biological Invasions,2012,2003,3.1,Data from Figure 3,% shoot attack,Herbivory,Lepidium draba,Non-native,Stem feeders,-0.45855042888865644,26,-0.49547421530254754,0.043478260869565216,Bio_9
Hiura & Nakamura 2013,Basic and Applied Ecology,2013,2005,3.5,Data from Figure 2(A),Chewing herbivory,Herbivory,Fagus crenata,Native,Defoliators,0.29884211130450106,19,0.30824768387646106,0.0625,Bio_9
Hiura & Nakamura 2013,Basic and Applied Ecology,2013,2005,3.5,Data from Figure 2(C),Log mine density,Herbivore abundance,Fagus crenata,Native,Miners,0.24581858995549669,20,0.25095757943310276,0.058823529411764705,Bio_9
Hiura & Nakamura 2013,Basic and Applied Ecology,2013,2005,3.5,Data from Figure 2(E),Log gall density,Herbivore abundance,Fagus crenata,Native,Gallers,0.1396026777531619,20,0.14052033359096677,0.058823529411764705,Bio_9
Hiura & Nakamura 2013,Basic and Applied Ecology,2013,2006,3.5,Data from Figure 2(B),Chewing herbivory,Herbivory,Fagus crenata,Native,Defoliators,-0.3989459098371182,10,-0.4223946898571043,0.14285714285714285,Bio_9
Hiura & Nakamura 2013,Basic and Applied Ecology,2013,2006,3.5,Data from Figure 2(D),Log mine density,Herbivore abundance,Fagus crenata,Native,Miners,0.3964797271537343,8,0.41946511814335063,0.2,Bio_9
Hiura & Nakamura 2013,Basic and Applied Ecology,2013,2006,3.5,Data from Figure 2(F),Log gall density,Herbivore abundance,Fagus crenata,Native,Gallers,0.7224222874685521,9,0.9126929733009772,0.16666666666666666,Bio_9
Johnstone 1981,Biotropica,1981,1981,2.3,Data from Table 5,Leaf area eaten (%),Herbivory,Avicennia marina,Native,Defoliators,0.8964501787917704,3,1.453843114742796,1,Bio_9
Kambo & Kotanen 2014,Biological Invasions,2014,2010,3.1,Data from Figure 2,Blotch Damage,Herbivory,Arctium minus,Non-native,Miners,0.24288419213057882,26,0.24783684737125466,0.043478260869565216,Bio_9
Kambo & Kotanen 2014,Biological Invasions,2014,2010,3.1,Data from Figure 2,Herbivore Damage (proportion),Herbivory,Arctium minus,Non-native,All folivores,0.47138402108853317,73,0.5118482586607831,0.014285714285714285,Bio_9
Kambo & Kotanen 2014,Biological Invasions,2014,2010,3.1,Data from Figure 2,Hole Damage (proportion),Herbivory,Arctium minus,Non-native,Defoliators,0.422454516269107,79,0.4506759959921435,0.013157894736842105,Bio_9
Kambo & Kotanen 2014,Biological Invasions,2014,2010,3.1,Data from Figure 2(a),Serpentine Damage,Herbivory,Arctium minus,Non-native,Miners,0.05635880585757232,32,0.05641859094352474,0.034482758620689655,Bio_9
Kambo & Kotanen 2014,Biological Invasions,2014,2010,3.1,Data from Figure 3,Total Blotch Mines,Herbivore abundance,Arctium minus,Non-native,Miners,0.1637150533955792,33,0.16520169930199954,0.03333333333333333,Bio_9
Kambo & Kotanen 2014,Biological Invasions,2014,2010,3.1,Data from Figure 3,Total Serpentine Mines,Herbivore abundance,Arctium minus,Non-native,Miners,-0.0015820094879803717,35,-0.001582010807775889,0.03125,Bio_9
Kambo & Kotanen 2014,Biological Invasions,2014,2010,3.1,Data from Figure 4,Seed Herbivory,Herbivory,Arctium minus,Non-native,Seed feeders,0.5937887730169188,51,0.683498024480783,0.020833333333333332,Bio_9
Katz & Ibanez 2016,Biological Invasions,2016,2010,3.1,Data from Figure 1,Foliar damage,Herbivory,Berberis thunbergii,Non-native,All folivores,-0.7358349857241666,5,-0.9413349372197428,0.5,Bio_9
Katz & Ibanez 2016,Biological Invasions,2016,2010,3.1,Data from Figure 1,Foliar damage,Herbivory,Celastrus orbiculatus,Non-native,All folivores,-0.6046008573261099,5,-0.7003672875640627,0.5,Bio_9
Katz & Ibanez 2016,Biological Invasions,2016,2010,3.1,Data from Figure 1,Foliar damage,Herbivory,Elaeagnus umbellata,Non-native,All folivores,-0.9450573386139985,5,-1.7833783072247442,0.5,Bio_9
Kent et al. 2020,Ecology and Evolution,2020,2015,2.9,Data from Raw data,herbavg,Herbivory,Andropogon gerardii,Native,Defoliators,0.08194790639306371,130,0.08213208836291046,0.007874015748031496,Bio_9
Kent et al. 2020,Ecology and Evolution,2020,2015,2.9,Data from Raw data,herbavg,Herbivory,Bouteloua dactyloides,Native,Defoliators,0.20347073788005673,102,0.20635053784416982,0.010101010101010102,Bio_9
Kent et al. 2020,Ecology and Evolution,2020,2015,2.9,Data from Raw data,herbavg,Herbivory,Bouteloua eriopoda,Native,Defoliators,0.02934335564534062,104,0.02935178186007348,0.009900990099009901,Bio_9
Kent et al. 2020,Ecology and Evolution,2020,2015,2.9,Data from Raw data,herbavg,Herbivory,Bouteloua gracilis,Native,Defoliators,0.28360228103199675,257,0.29159510006550104,0.003937007874015748,Bio_9
Kent et al. 2020,Ecology and Evolution,2020,2015,2.9,Data from Raw data,herbavg,Herbivory,Schizachyrium scoparium,Native,Defoliators,-0.02169455802071403,205,-0.021697962524573764,0.0049504950495049506,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Coleoptera,Herbivore abundance,Solanum carolinense,Native,Defoliators,-0.1290471117259051,6,-0.12977070292393642,0.3333333333333333,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Coleoptera,Herbivore abundance,Solidago altissima,Native,Defoliators,-0.8207652605664021,6,-1.1591579121682323,0.3333333333333333,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Gallers,Herbivore abundance,Solidago altissima,Native,Gallers,-0.5306867889894369,6,-0.5911007112490957,0.3333333333333333,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Hemiptera,Herbivore abundance,Solanum carolinense,Native,Sap feeders,0.6709357936932298,6,0.8124431081513256,0.3333333333333333,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Hemiptera,Herbivore abundance,Solidago altissima,Native,Sap feeders,0.5972325789865359,6,0.688834248133639,0.3333333333333333,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Lepidoptera,Herbivore abundance,Solanum carolinense,Native,Defoliators,0.3226876733826786,6,0.3346442780036751,0.3333333333333333,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Lepidoptera,Herbivore abundance,Solidago altissima,Native,Defoliators,0.5260378718964647,6,0.5846513046528525,0.3333333333333333,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Orthoptera,Herbivore abundance,Solidago altissima,Native,Defoliators,0.012065396973088657,6,0.01206598249280983,0.3333333333333333,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 4,Cumulative leaf damage (%),Herbivory,Solanum carolinense,Native,Defoliators,0.20567674291688315,18,0.20865289873727758,0.06666666666666667,Bio_9
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 4,Cumulative leaf damage (%),Herbivory,Solidago altissima,Native,Defoliators,-0.5229014546466932,18,-0.5803247912281916,0.06666666666666667,Bio_9
Koop 2004,Florida Scientist,2004,2000,NA,Data from Figure 2,Percent Herbivory,Herbivory,Ardisia elliptica,Non-native,Defoliators,0.386806002401409,7,0.4080385918712207,0.25,Bio_9
Koop 2004,Florida Scientist,2004,2000,NA,Data from Figure 2,Percent Herbivory,Herbivory,Ardisia escallonioides,Native,Defoliators,0.6229253918575858,7,0.7297712648634495,0.25,Bio_9
Kozlov et al. 2009,Environmental Pollution,2009,NA,8.071,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Betula pubescens,Native,Defoliators,-0.05257267217478766,6,-0.052621187609987304,0.3333333333333333,Bio_9
